"","gene_name","MDA 24h","MDA 10w"
"17532","ZNF703",-1.06767817464074,-1.29441274077473
"17535","ZNF708",-0.619251218032394,-0.628149483838658
"17546","ZNF724",-0.414465309236796,-0.61877185260053
"17561","ZNF75A",-0.906805589397284,-1.54797991175283
"17562","ZNF75D",-0.476196954893663,-1.29420413248211
"17576","ZNF774",-0.47189216087607,-0.77046856414895
"17584","ZNF782",-1.02077387365634,-0.660241943480371
"17592","ZNF790",-0.681360205465919,-0.521788942030433
"17627","ZNF860",-1.11118924377821,-0.819544034706914
"17699","ZW10",-0.352469881005141,-0.574096846162882
"17701","ZWINT",-0.574791193995063,-0.496931308246327
